codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer
P0423,Luz LED USB,Electronica,242,13,88,2025-02-06,305
P0424,Polo basico,Ropa,286,55,59,2025-07-02,41
P0425,Mascarilla coreana,Belleza,201,15,147,2025-11-29,127
P0426,Juguete para perro,Mascotas,28,76,109,2025-09-25,240
P0427,Shampoo canino,Mascotas,99,73,8,2025-06-02,347
P0428,Crema hidratante,Belleza,224,53,84,2025-12-04,146
P0429,Repisa modular,Hogar,170,40,82,2025-05-27,239
P0430,Cuaderno kawaii,Papeleria,234,19,41,2025-09-15,285
P0431,Medias termicas,Ropa,275,18,51,2025-04-28,201
P0432,Pijama,Ropa,37,7,84,2025-06-04,117
P0433,Organizador plastico,Hogar,175,7,144,2025-12-16,296
P0434,Organizador plastico,Hogar,277,39,65,2025-11-07,301
P0435,Incienso japones,Decoracion,71,53,127,2025-08-11,279
P0436,Cuaderno kawaii,Papeleria,293,25,107,2025-05-26,99
P0437,Mascarilla coreana,Belleza,131,34,108,2025-12-20,288
P0438,Sarten antiadherente,Cocina,165,48,79,2025-02-10,63
P0439,Cepillo facial,Belleza,57,36,57,2025-04-28,100
P0440,Correa retractil,Mascotas,165,41,7,2025-07-15,56
P0441,Arena para gato,Mascotas,56,24,19,2025-06-06,202
P0442,Repisa modular,Hogar,135,15,49,2025-10-21,64
P0443,Farol decorativo,Decoracion,185,60,65,2025-01-31,113
P0444,Organizador plastico,Hogar,76,79,45,2025-09-17,154
P0445,Cable Tipo C,Electronica,243,55,50,2025-09-19,315
P0446,Farol decorativo,Decoracion,131,41,124,2025-12-23,35
P0447,Crema hidratante,Belleza,205,22,113,2025-10-12,77
P0448,Ramen coreano,Comida Asiatica,118,26,68,2025-03-10,165
P0449,Polo basico,Ropa,171,57,123,2025-12-09,42
P0450,Repisa modular,Hogar,118,55,85,2025-01-21,300
P0451,Cepillo facial,Belleza,101,67,24,2025-05-05,111
P0452,Escoba plegable,Hogar,282,28,19,2025-06-14,341
P0453,Cuaderno kawaii,Papeleria,154,40,118,2025-05-27,64
P0454,Farol decorativo,Decoracion,276,58,47,2025-05-20,246
P0455,Farol decorativo,Decoracion,14,60,20,2025-02-15,12
P0456,Mini ventilador USB,Electronica,156,30,48,2025-04-18,236
P0457,Fideos udon,Comida Asiatica,237,79,143,2025-07-22,192
P0458,Pijama,Ropa,251,55,82,2025-04-02,175
P0459,Te verde japones,Comida Asiatica,172,52,73,2025-11-24,116
P0460,Arena para gato,Mascotas,234,76,147,2025-03-04,294
P0461,Sarten antiadherente,Cocina,22,51,31,2025-07-27,114
P0462,Mini ventilador USB,Electronica,223,47,67,2025-02-23,298
P0463,Farol decorativo,Decoracion,178,28,35,2025-07-03,286
P0464,Medias termicas,Ropa,172,23,114,2025-09-21,282
P0465,Plato para mascotas,Mascotas,74,40,25,2025-02-06,1
P0466,Incienso japones,Decoracion,241,12,133,2025-07-07,128
P0467,Pijama,Ropa,266,40,35,2025-07-13,191
P0468,Stickers decorativos,Papeleria,274,38,128,2025-09-17,358
P0469,Taza termica,Cocina,268,18,34,2025-02-14,61
P0470,Sarten antiadherente,Cocina,25,70,145,2025-06-11,234
P0471,Audifonos Bluetooth,Electronica,22,60,111,2025-10-17,295
P0472,Taza termica,Cocina,224,59,27,2025-04-28,221
P0473,Mascarilla coreana,Belleza,242,34,13,2025-01-21,53
P0474,Palillos chinos,Cocina,290,35,81,2025-07-02,23
P0475,Mochi,Comida Asiatica,157,36,114,2025-01-14,178
P0476,Te verde japones,Comida Asiatica,31,34,4,2025-07-24,59
P0477,Crema hidratante,Belleza,21,35,34,2025-12-04,248
P0478,Escoba plegable,Hogar,84,53,79,2025-08-29,349
P0479,Repisa modular,Hogar,223,42,87,2025-03-29,306
P0480,Cuaderno kawaii,Papeleria,166,32,139,2025-05-01,65
P0481,Palillos chinos,Cocina,171,48,100,2025-12-04,307
P0482,Palillos chinos,Cocina,207,60,145,2025-07-05,218
P0483,Juguete para perro,Mascotas,226,59,138,2025-06-24,23
P0484,Incienso japones,Decoracion,244,17,101,2025-01-24,364
P0485,Juguete para perro,Mascotas,290,77,21,2025-12-06,211
P0486,Farol decorativo,Decoracion,110,52,103,2025-01-28,41
P0487,Sarten antiadherente,Cocina,155,75,13,2025-07-29,229
P0488,Fideos udon,Comida Asiatica,25,13,73,2025-06-15,310
P0489,Lapicero gel,Papeleria,109,49,137,2025-08-04,264
P0490,Crema hidratante,Belleza,12,32,70,2025-05-29,28
P0491,Lapicero gel,Papeleria,74,25,13,2025-11-09,49
P0492,Luz LED USB,Electronica,147,57,44,2025-10-30,53
P0493,Farol decorativo,Decoracion,289,6,81,2025-12-22,138
P0494,Palillos chinos,Cocina,120,21,12,2025-07-01,24
P0495,Medias termicas,Ropa,197,69,84,2025-04-29,156
P0496,Juguete para perro,Mascotas,195,31,134,2025-08-12,153
P0497,Correa retractil,Mascotas,16,61,126,2025-01-12,16
P0498,Incienso japones,Decoracion,144,55,75,2025-09-21,225
P0499,Mascarilla coreana,Belleza,54,63,132,2025-04-14,195
P0500,Polo basico,Ropa,107,32,79,2025-05-04,218
