codigo_producto,nombre_producto,categoria,nivel_rotacion,accion
P0486,Farol decorativo,Decoracion,Alta,Monitorear
P0487,Sarten antiadherente,Cocina,Baja,Monitorear
P0488,Fideos udon,Comida Asiatica,Media,Monitorear
P0489,Lapicero gel,Papeleria,Alta,Monitorear
P0490,Crema hidratante,Belleza,Media,Monitorear
P0491,Lapicero gel,Papeleria,Baja,Monitorear
P0492,Luz LED USB,Electronica,Baja,Monitorear
P0493,Farol decorativo,Decoracion,Media,Monitorear
P0494,Palillos chinos,Cocina,Baja,Alerta de sobrestock
P0495,Medias termicas,Ropa,Media,Monitorear
P0496,Juguete para perro,Mascotas,Alta,Monitorear
P0497,Correa retractil,Mascotas,Alta,Reabastecimiento urgente
P0498,Incienso japones,Decoracion,Media,Monitorear
P0499,Mascarilla coreana,Belleza,Alta,Reabastecimiento urgente
P0500,Polo basico,Ropa,Media,Monitorear
